seed,tariff_multiplier,expected_cost,active_losses,voltage_deviation,transformer_peak,degradation,feasible
1,0.75,727.669161801717,51.89303546497909,0.013888857378709344,84.89147949438649,0.0006775039177391142,False
1,0.75,721.6583677135021,51.890426318003904,0.01386524331132452,84.89147949438677,0.000636563610227635,False
1,0.75,721.663710533946,51.89042792340316,0.013865254700165426,84.89147949438677,0.0006365636005219763,False
1,0.75,721.658904934169,51.89042667561313,0.013865243986671829,84.89147949438677,0.0006365669106491865,False
1,0.75,721.6642477544289,51.89042828101219,0.013865255375509165,84.89147949438677,0.00063656690094357,False
1,0.75,721.6653627913058,51.89040911139862,0.013865240058124206,84.8914794943866,0.0006352391766047394,False
1,0.75,727.2735705644247,51.89289424621453,0.013887774433776074,84.89147949438654,0.0006732198685686046,False
1,0.75,727.2734913271444,51.89289392766934,0.013887774190131014,84.89147949438654,0.0006732147624067055,False
2,0.75,715.7810690702488,51.88210259812024,0.01388090020851035,84.89147949438608,0.0004480757264958429,False
2,0.75,715.4108567811862,51.882009956929664,0.01388009898782855,84.89147949438608,0.00044807648929994566,False
2,0.75,713.7420712925879,51.88160681051418,0.013876330385022095,84.89147949438608,0.00044237484490590917,False
2,0.75,706.494658501067,51.87911431648456,0.01386005644386513,84.89147949438596,0.00045020734863487395,False
2,0.75,706.7776762743554,51.87895912503206,0.013860926806955262,84.89147949438627,0.0004068219622742286,False
2,0.75,706.3195344626935,51.87874347877863,0.01385982869795539,84.89147949438608,0.0004084397165338319,False
2,0.75,706.3195344626935,51.87874347877863,0.01385982869795539,84.89147949438608,0.0004084397165338319,False
2,0.75,706.5301941627848,51.87883922520789,0.01386032590659983,84.89147949438627,0.0004050411699029645,False
1,1.25,1212.781936336195,51.89303546497909,0.013888857378709344,84.89147949438649,0.0006775039177391142,False
1,1.25,1202.76394618917,51.890426318003904,0.01386524331132452,84.89147949438677,0.000636563610227635,False
1,1.25,1202.7728508899104,51.89042792340316,0.013865254700165426,84.89147949438677,0.0006365636005219763,False
1,1.25,1202.7648415569479,51.89042667561313,0.013865243986671829,84.89147949438677,0.0006365669106491865,False
1,1.25,1202.7737462573807,51.89042828101219,0.013865255375509165,84.89147949438677,0.00063656690094357,False
1,1.25,1202.775604652176,51.89040911139862,0.013865240058124206,84.8914794943866,0.0006352391766047394,False
1,1.25,1212.1226176073749,51.89289424621453,0.013887774433776074,84.89147949438654,0.0006732198685686046,False
1,1.25,1212.122485545241,51.89289392766934,0.013887774190131014,84.89147949438654,0.0006732147624067055,False
2,1.25,1192.9684484504144,51.88210259812024,0.01388090020851035,84.89147949438608,0.0004480757264958429,False
2,1.25,1192.3514279686437,51.882009956929664,0.01388009898782855,84.89147949438608,0.00044807648929994566,False
2,1.25,1189.57011882098,51.88160681051418,0.013876330385022095,84.89147949438608,0.00044237484490590917,False
2,1.25,1177.491097501778,51.87911431648456,0.01386005644386513,84.89147949438596,0.00045020734863487395,False
2,1.25,1177.9627937905932,51.87895912503206,0.013860926806955262,84.89147949438627,0.0004068219622742286,False
2,1.25,1177.199224104489,51.87874347877863,0.01385982869795539,84.89147949438608,0.0004084397165338319,False
2,1.25,1177.199224104489,51.87874347877863,0.01385982869795539,84.89147949438608,0.0004084397165338319,False
2,1.25,1177.550323604641,51.87883922520789,0.01386032590659983,84.89147949438627,0.0004050411699029645,False
1,1.5,1455.338323603434,51.89303546497909,0.013888857378709344,84.89147949438649,0.0006775039177391142,False
1,1.5,1443.3167354270042,51.890426318003904,0.01386524331132452,84.89147949438677,0.000636563610227635,False
1,1.5,1443.327421067892,51.89042792340316,0.013865254700165426,84.89147949438677,0.0006365636005219763,False
1,1.5,1443.317809868338,51.89042667561313,0.013865243986671829,84.89147949438677,0.0006365669106491865,False
1,1.5,1443.3284955088577,51.89042828101219,0.013865255375509165,84.89147949438677,0.00063656690094357,False
1,1.5,1443.3307255826116,51.89040911139862,0.013865240058124206,84.8914794943866,0.0006352391766047394,False
1,1.5,1454.5471411288495,51.89289424621453,0.013887774433776074,84.89147949438654,0.0006732198685686046,False
1,1.5,1454.5469826542887,51.89289392766934,0.013887774190131014,84.89147949438654,0.0006732147624067055,False
2,1.5,1431.5621381404976,51.88210259812024,0.01388090020851035,84.89147949438608,0.0004480757264958429,False
2,1.5,1430.8217135623725,51.882009956929664,0.01388009898782855,84.89147949438608,0.00044807648929994566,False
2,1.5,1427.4841425851757,51.88160681051418,0.013876330385022095,84.89147949438608,0.00044237484490590917,False
2,1.5,1412.989317002134,51.87911431648456,0.01386005644386513,84.89147949438596,0.00045020734863487395,False
2,1.5,1413.5553525487107,51.87895912503206,0.013860926806955262,84.89147949438627,0.0004068219622742286,False
2,1.5,1412.639068925387,51.87874347877863,0.01385982869795539,84.89147949438608,0.0004084397165338319,False
2,1.5,1412.639068925387,51.87874347877863,0.01385982869795539,84.89147949438608,0.0004084397165338319,False
2,1.5,1413.0603883255696,51.87883922520789,0.01386032590659983,84.89147949438627,0.0004050411699029645,False
