seed,scenario_count,pv_penetration,forecast_error,duration_h,placement_index,energy_kwh,power_kw,pv_kw,expected_cost,active_losses,voltage_deviation,transformer_peak,degradation,constraint_violation,feasible,sweep
9000,50,0.0,0.0,2.0,7,11.122178086303848,305.47100876344126,287.1661923959613,43.113680200382866,1.670202845892221,0.04833321456329005,111.36957410577567,0.03576476095701348,0.0002573756206334099,False,pv_penetration
9000,50,0.0,0.0,2.0,7,742.0375350028595,296.0649836995112,211.82775696767956,44.7492906483031,1.6706502652390554,0.04821204428062319,92.1682094280681,0.0005793223011732817,0.00041592129104503495,False,pv_penetration
9000,50,0.0,0.0,2.0,7,752.3153516712125,296.0649836995112,211.82775696767956,44.7492906483031,1.6706502652390554,0.04821204428062319,92.1682094280681,0.0005301266906126661,0.00041592129104503495,False,pv_penetration
9000,50,0.0,0.0,2.0,8,4.7877834841933975,115.23598018859435,285.9229607649805,45.3811799703208,1.9840872372026968,0.05168964857293627,98.05625334031483,0.03919259286482455,0.0007335973954053915,False,pv_penetration
9025,50,0.25,0.0,2.0,7,504.54483913501997,238.53592650217573,184.13832484782432,40.889054392780544,1.6693245249710138,0.04784709118205497,109.67186300090546,0.0006048409916197844,5.293796322304589e-05,False,pv_penetration
9025,50,0.25,0.0,2.0,7,509.2083472110493,238.53592650217573,13.085557886501036,42.540396075526466,1.6696910856751188,0.0483259766312205,118.94180953267951,0.0005676206224010367,5.789804151871969e-05,False,pv_penetration
9025,50,0.25,0.0,2.0,7,265.6315046696991,229.13790743238766,184.13832484782432,40.969944094090515,1.6693589619401896,0.047839124920972094,108.5472830010292,0.0011403057409915263,6.691795390983968e-05,False,pv_penetration
9025,50,0.25,0.0,2.0,4,256.91817513039126,41.805253566686986,10.4369006276536,45.316360969090816,1.8374873519630022,0.05030672772338242,95.69296926955018,0.00019992653071257147,0.0004159212910449378,False,pv_penetration
9050,50,0.5,0.0,2.0,4,321.9498722812506,47.4479168141352,55.693404773903886,48.143330014869655,2.119478293344669,0.05233142524925698,101.40080178812258,0.00015029887768683683,0.00041592129104497944,False,pv_penetration
9050,50,0.5,0.0,2.0,4,321.9498722812506,43.39082985696221,55.693404773903886,48.558416088143616,2.2333247931370153,0.05285638762744064,103.43204746019316,0.00013569294137569693,0.0005400421974593589,False,pv_penetration
9050,50,0.5,0.0,2.0,4,321.9498722812506,43.39082985696221,52.25536035915289,49.81171698402971,2.407602272162186,0.0545979445818959,105.675483927351,0.00013659186309219803,0.0005400421976042569,False,pv_penetration
9050,50,0.5,0.0,2.0,4,347.24119112504974,333.41972328479505,514.6263646861856,65.25427655672964,8.43549139057506,0.07232784268718279,155.38037207764808,0.0009714407841343563,0.01628674024179319,False,pv_penetration
9075,50,0.75,0.0,2.0,6,42.52037634951898,156.18878648152727,184.43945138912608,50.21351556915162,2.7503603175191214,0.04978899393064476,170.86246620879356,0.005501601387604238,0.0004159212910450766,False,pv_penetration
9075,50,0.75,0.0,2.0,6,727.1914458341072,156.18878648152727,184.43945138912608,61.11196799252456,4.367045962186863,0.05149652211079203,244.62926472672976,0.0002681857181818736,0.0016010776724006553,False,pv_penetration
9075,50,0.75,0.0,2.0,6,727.1914458341072,156.40941726408505,184.43945138912608,61.04447951389997,4.339029553254782,0.051449695178192575,241.73685711617196,0.00029307710660327936,0.0017200357888366713,False,pv_penetration
9075,50,0.75,0.0,2.0,4,269.6969850706405,166.76292800876274,18.11239904129739,49.59067618027568,4.766749868717113,0.05981756695248844,128.36352441893314,0.0007083273315834097,0.006977801132819858,False,pv_penetration
9100,50,1.0,0.0,2.0,10,351.3522922752475,247.51256843376805,127.5834680802947,52.40717073675171,6.357917097686917,0.07458301782239944,141.77631024441044,0.0008500591774185685,0.020711208028761682,False,pv_penetration
9100,50,1.0,0.0,2.0,10,351.3522922752475,247.51256843376805,128.33077074209518,52.39049492271728,6.373330369797844,0.07462002018865417,141.87785421983202,0.000863388225702531,0.020852578147021558,False,pv_penetration
9100,50,1.0,0.0,2.0,10,351.3522922752475,377.20575481781805,128.33077074209518,59.30797128273089,11.069831252252342,0.09019173454373972,178.4889728555267,0.0013097402947559189,0.04335154574779024,False,pv_penetration
9100,50,1.0,0.0,2.0,6,699.7061731161662,249.46716076569638,395.8481663824391,42.47166633166099,6.917808519047666,0.05215318116910932,313.49536804018004,0.0004565252371640822,0.08345989735165583,False,pv_penetration
9101,50,1.0,0.0,1.0,3,209.06482457857427,222.1296416362112,332.3716152529248,44.4061070624907,1.7488377131703765,0.047921871907174084,96.97362944471496,0.001642843916079168,0.0004159212910447435,False,storage_duration
9101,50,1.0,0.0,1.0,3,374.1287594303319,156.35755542880432,102.96557537380255,49.63318431669541,2.534552819392034,0.05182516608561834,103.2530454743583,0.0005376675227681566,0.0012745156123862567,False,storage_duration
9101,50,1.0,0.0,1.0,3,374.1287594303319,156.35755542880432,93.92749853547278,40.84192266471757,1.9942127428988272,0.0463759468674432,93.18255689086192,0.0005642875294806411,0.003534432498945681,False,storage_duration
9101,50,1.0,0.0,1.0,3,374.1287594303319,156.35755542880432,102.96557537380255,40.631165446585875,2.08328696795752,0.04659637925485943,93.95470029479544,0.0005650342107010825,0.004523910987960941,False,storage_duration
9102,50,1.0,0.0,2.0,9,288.9767621642336,122.55403116436563,14.64217223936052,49.709059678356255,4.775950336643815,0.062309339166326264,123.66519365308723,0.0006020676424015981,0.019757655725784404,False,storage_duration
