seed,scenario_count,pv_penetration,forecast_error,duration_h,placement_index,energy_kwh,power_kw,pv_kw,expected_cost,active_losses,voltage_deviation,transformer_peak,degradation,constraint_violation,feasible,sweep
9102,50,1.0,0.0,2.0,10,340.9564741420875,173.0671559757292,28.99067410523339,41.260392443136546,7.845742180082409,0.06655569230464903,134.98630893629968,0.000707313575615937,0.024804777787812635,False,storage_duration
9102,50,1.0,0.0,2.0,10,134.89011387642952,183.7635392850778,28.44197570349914,41.40842808022206,8.029576286536635,0.06812188284044679,138.82509734133825,0.0019205336027716304,0.025971676486409037,False,storage_duration
9102,50,1.0,0.0,2.0,10,335.5841940379927,375.6906363453342,446.1261607324242,54.447493125653054,10.190087029283948,0.0710232770394591,145.3621922407645,0.001593719530051483,0.05029774301191461,False,storage_duration
9104,50,1.0,0.0,4.0,13,577.433039473913,72.35048683164092,38.92661709350038,48.29088212543341,2.639180495475209,0.0558995853781941,97.22766278616257,0.0001522711511850454,0.007333769783779878,False,storage_duration
9104,50,1.0,0.0,4.0,13,577.433039473913,72.35048683164092,38.92661709350038,50.11926850766073,3.4333561266387873,0.059864645811694255,103.77587967985522,0.00016101427483558483,0.013009842542843722,False,storage_duration
9104,50,1.0,0.0,4.0,13,577.433039473913,72.35048683164092,38.92661709350038,50.11926850766073,3.4333561266387873,0.059864645811694255,103.77587967985522,0.00016101427483558483,0.013009842542843722,False,storage_duration
9104,50,1.0,0.0,4.0,5,706.2046508016919,207.5030409303932,76.6982386823859,53.84079490132145,6.131078795683136,0.05819799846368814,120.56235069971214,0.00037377832972172183,0.01611300724552224,False,storage_duration
9200,50,1.0,0.0,2.0,1,413.57538156912756,268.6979050091244,476.87864402214274,31.799226515534706,5.510327781845424,0.048464956606798865,110.00855294469167,0.0009164460044928795,0.03417040958930512,False,forecast_error
9200,50,1.0,0.0,2.0,1,74.08600140206305,268.6979050091244,482.4923011619911,31.799226506588944,5.642692952007182,0.04862909353214762,110.46586531482323,0.0046776846868522275,0.03556575510932157,False,forecast_error
9200,50,1.0,0.0,2.0,1,352.68879290349713,244.68044017182046,491.0645600613111,52.451092580784895,8.700818546384182,0.05834719011386339,151.19922097291735,0.0009262369489930978,0.044436705496826934,False,forecast_error
9200,50,1.0,0.0,2.0,11,409.89091455211997,22.086907072315533,294.11658107633264,39.44879918968201,13.533849647128537,0.0754285043858202,135.2824492885522,6.293444912298742e-05,0.06407228012489642,False,forecast_error
9205,50,1.0,0.05,2.0,4,361.62092374438447,56.535030841578376,378.8040042888233,45.35933264183362,2.319325018702031,0.05095202557667171,104.01669591947936,0.00019135433508064078,0.000776957349684082,False,forecast_error
9205,50,1.0,0.05,2.0,4,354.2291826628463,61.214962650934936,378.8040042888233,42.03507311380173,4.444214036464912,0.056140254258000254,109.93627457037101,0.00021146963490291742,0.017350861272420318,False,forecast_error
9205,50,1.0,0.05,2.0,4,353.6732343778561,61.214962650934936,378.8040042888233,42.02614209143107,4.454910093673976,0.056163228491598736,109.96974472939644,0.0002009468311454349,0.017429793171288607,False,forecast_error
9205,50,1.0,0.05,2.0,13,430.4421139287411,132.8674295673988,479.34099017502285,54.568047163844206,8.294065419465955,0.08362788588457103,138.04565822344173,0.00038730048858066804,0.03959870416633614,False,forecast_error
9210,50,1.0,0.1,2.0,7,111.3526301352783,346.82179632443194,401.24361141482956,45.90880087787197,1.7906898102613078,0.04860375815400112,97.03100934288221,0.0031542371056717295,0.0011168143600336355,False,forecast_error
9210,50,1.0,0.1,2.0,7,111.3526301352783,346.82179632443194,588.9452420053382,39.86342091273556,1.7892649027815857,0.046394005628326414,104.94872338412655,0.0030644900678906527,0.011092479212191794,False,forecast_error
9210,50,1.0,0.1,2.0,7,110.71801071094603,127.82081065024232,404.3677769383635,44.994966317737756,1.7912865035038006,0.046915468308249816,135.72278493320238,0.0013299012076211842,0.018659156012144282,False,forecast_error
9210,50,1.0,0.1,2.0,5,583.955303382673,108.19353500256699,404.3677769383635,42.52625528852876,11.190069335196165,0.07240923069138727,134.33203656075665,0.00022338273085602983,0.0483646965301279,False,forecast_error
9220,50,1.0,0.2,2.0,4,171.28093388724133,22.63438028829286,26.380205107066235,47.8394036575665,2.12200468187503,0.050152195885154335,96.82451676783964,0.000158480093009947,0.00199028066151416,False,forecast_error
9220,50,1.0,0.2,2.0,4,175.6088097375482,203.60282575239137,26.380205107066235,65.21514034848644,10.632757881148311,0.07864700614842435,163.76481734620398,0.0012523062023351533,0.02362051670313721,False,forecast_error
9220,50,1.0,0.2,2.0,4,175.6088097375482,203.60282575239137,26.380205107066235,62.11712050566263,11.582255410539378,0.08285454201109341,160.3086144103193,0.0013564923515428057,0.026644760630688755,False,forecast_error
9220,50,1.0,0.2,2.0,10,715.9730105046124,201.7088724313809,642.4656088528135,33.0817822407526,10.05775367347843,0.05909553612530977,129.14241972406694,0.0003736977317606089,0.04394011534554988,False,forecast_error
