day,expected_cost,active_losses,voltage_deviation,transformer_peak,degradation,seed
70,1245.5578999648199,77.58954044541592,0.015883497278662898,85.90660360246875,0.00016268930323722034,1
85,1066.9200908203377,59.797569636806635,0.014511399465684563,75.47575247952216,0.00016268930323722034,1
73,751.6283838837867,32.854967518994435,0.011156557241421337,48.42036725313928,0.00016268930323722034,1
86,741.784776101046,50.77655067523154,0.01134132128532857,67.73408963596196,0.00016268930323722034,1
70,1309.6941057661684,79.32994926150997,0.016473382755688906,85.90660360246923,0.0016230244740884515,2
85,1130.8068036794416,60.217253895482806,0.015213873550484763,69.81077793014104,0.0016230244740884515,2
73,788.209562385963,34.51667723483485,0.011583976745986643,48.42036725314192,0.0016230244740884515,2
86,802.8769715216783,52.40435342986798,0.011815155999381271,69.75822711214752,0.0016230244740884515,2
70,1157.7943891584164,141.1009535666084,0.016494524734426187,85.90660360246896,8.572476542412062e-05,3
85,942.2982648476581,120.13149816729381,0.014848077935527565,69.81078517053206,8.572476542412062e-05,3
73,671.9404820485468,52.28600738715365,0.011304008144665393,48.42036725314026,8.572476542412062e-05,3
86,647.856574147174,111.51246374002741,0.01207775725632068,63.47000625196373,8.572476542412062e-05,3
70,1263.5809785745976,98.58482127220574,0.0165526493860297,85.90660360246899,0.002179935296880177,4
85,1078.539304303211,79.85078315030603,0.015059984063157707,69.81077793014262,0.002179935296880177,4
73,758.9685698963983,54.18069589339064,0.012005177377088172,48.42036725313994,0.002179935296880177,4
86,754.9621794014862,72.38263051080482,0.01201750958055132,72.85514718905674,0.002179935296880177,4
70,1219.7075987634994,78.04147596414266,0.015935822091576655,85.90660360246875,0.00024531684126148764,5
85,1036.1175144770675,59.191997669156784,0.014602287296294758,69.81077793013925,0.00024531684126148764,5
73,731.1664933010752,30.29978559440031,0.011168415829608239,48.42036725314258,0.00024531684126148764,5
86,710.1019251413707,50.97034068722026,0.011211237921227217,62.77794593375916,0.00024531684126148764,5
