day,status,point_mae_kw,scenario_q90_mean_kw,s3_scheduled_peak_kw,s4_scheduled_peak_kw
0,no_prior_day_no_dispatch,,,,
1,,53.027957723633726,78.83170621084285,149.24987541266142,149.24987541266142
2,,42.06921392857886,80.69005725206101,117.03745587994213,119.40183013985634
3,,29.894538437768603,140.90308051281102,110.4857327952347,202.04653652674654
4,,60.59352825788901,146.57766720242458,112.63850367449152,224.22484980329875
5,,41.31746932568021,215.21644413932628,156.39717531015714,241.97993220535187
6,,48.15363284666262,203.64650760919653,133.12892905163193,243.28671276480105
7,,43.577685551796456,179.9498220995557,108.55447937958763,207.66815517188647
8,,60.29761367124218,170.1422282432097,179.1981731772342,207.51813162860648
9,,57.31036524694025,229.01919865151922,159.21743599321343,292.9387843294052
10,,43.90668535296542,162.61540502391514,137.56029570722825,306.6973058717225
11,,37.01358765354272,137.89773041168561,132.02386821719818,194.06770365647677
12,,46.60828108640991,164.29739246082883,87.87115161683917,188.0358206092323
13,,46.878738840654705,169.02243210191332,113.3974601323828,195.37062871531623
14,,55.360739596101986,175.8721101670584,195.80545307528774,259.0873451394675
15,,95.2352128717608,229.53816397130058,198.62836951563708,309.7759827984519
16,,29.414867478081494,128.5970361017589,76.00674241596234,179.99287250717975
17,,39.27231819257066,144.68393681303777,109.99969815562419,197.56686461030714
18,,39.21751150744777,166.77697261806418,139.91561034030244,210.19347905846104
19,,49.54613213592339,178.08934983816687,114.63087798943512,222.5142364993842
20,,57.73278000520346,190.6052160970146,216.34582046385842,301.62396217735323
21,,62.85610480135659,189.17031110017567,134.47915859811133,218.2580381799228
22,,29.137058695158988,183.9454065917339,111.14378855039287,219.7178158183783
23,,35.0678934674407,173.56695889543232,99.07360998357501,197.74037638074782
24,,38.7457880427413,156.14949103778676,105.24512290286057,158.88964778914078
25,,44.87678186715011,183.22905744140016,160.7099291337713,232.80807919656044
26,,40.308482640440424,150.3642103044125,100.11656526414677,175.37576323624057
27,,64.89149104375123,175.81753234701532,166.7793877487315,240.9994225956891
28,,54.62134548090294,215.70481340265732,211.79198737957253,368.73881956940784
29,,50.8035126985948,186.6116675790181,146.93454866135636,251.06477960339646
30,,33.865088195943514,182.0879616651198,154.97161113220164,224.80307307854557
31,,41.27054449517437,158.91517202546243,116.50862325625158,197.97961856875406
32,,96.39204596620601,118.32459953913747,77.97527759597965,118.03564296455555
33,,74.09261998747628,203.53931434174152,187.03351275395698,294.67391076849145
34,,61.11098549832482,151.47050660869704,89.07296091121731,199.7845062911673
35,,62.13038245204038,165.71944233410537,160.56276923387756,206.1786655742468
36,,60.77716163788358,173.78549370037126,154.36266343234476,257.69930941149005
37,,46.961251736257815,221.55305384787664,196.118690894664,321.31120116277634
38,,83.22471559111095,200.56156856973107,176.8551440676027,286.73091726722686
39,,111.37652179387987,272.97734117535134,312.67635418073525,413.4706840456602
40,,35.21946616272619,171.95033276282425,161.890767335613,270.3369600395988
41,,50.33464965547095,182.72392569914328,168.51778839564193,290.6229148966187
42,,42.96941718463091,165.4403495557098,80.88711394257075,184.0009530728949
43,,106.80480883088983,178.95136786414682,95.54465830609358,223.3592572861667
44,,52.02797231081802,267.82721545729356,254.1572072779681,394.4960800895747
45,,51.34973020832407,236.81164564002995,203.84411496239613,349.053226393079
46,,33.52974607197488,184.58054549374472,167.66606791960305,270.8369759527447
47,,61.50688645484592,205.92282795190272,98.05943515540129,280.6328848276297
48,,48.455280003391465,162.7899316837554,110.31370703094728,203.51036425423564
49,,38.83101135297928,166.74897803993417,138.78447392317693,240.19517509686696
50,,66.45638920178618,165.03481840453284,106.83324375920104,208.91812860379417
51,,62.47283545530055,224.54795333042162,217.55324437393705,261.0765237191972
52,,89.81626812756478,183.68132433636143,136.70727995533997,255.19604288396138
53,,98.42391431259342,248.75648408832362,223.76491802655676,332.3789422137424
54,,63.91412076970844,177.66991703289287,146.25304457557655,276.7432489690591
55,,48.724418179229986,192.37415342938422,205.91093940363393,282.61465298441505
56,,45.51793443164669,202.27994980118842,126.29051358319155,245.24956659645548
57,,44.158661467593596,186.07665780234163,110.58305334327503,197.54423487513685
58,,72.92733184481243,174.57049431165748,128.09416939324643,254.07291339114917
59,,75.59928871397054,210.56541046554023,163.88644613277035,263.8931396490162
60,,32.74164952183937,176.45995925760351,104.85688073836496,193.73329676256256
61,,86.8586498853045,161.9288567222934,94.4430892740488,203.67216623707105
62,,59.93913627896734,237.47724669514295,321.72285065141136,431.26833270805633
63,,44.66775326489196,196.89150083350953,185.41779945678635,313.72085177234493
64,,41.33864656321635,163.40899555151861,98.20500680971736,219.15680863678494
65,,73.83496230153203,184.75224727506054,101.59955716405516,209.39060075979214
66,,53.83091319508814,204.0774283412031,207.33150848334446,312.8326191629928
67,,47.24954694543749,194.47369067105203,158.90067225021048,270.0138342451094
68,,48.253339644652016,152.04003464776648,109.69505527973942,206.9000358061217
69,,51.01061176748832,190.49573023512642,147.62227427700248,253.60046575124872
70,,69.50914682696761,199.13285437091636,171.1439338211616,290.773263620153
71,,43.331701607244206,207.13993454311267,209.10790168498042,313.28204281496295
72,,38.91291341639612,196.7312074313254,155.8911712964898,268.5426654697484
73,,39.951463532998574,196.8377471860324,174.84723048760716,290.64104482336114
74,,53.76492545492994,161.38636030662389,117.20559220542262,233.58506851024308
75,,45.620985016174444,188.71231233309356,118.03856027004319,208.01706186034616
76,,103.4310773087534,175.7326369863615,117.07173838430856,214.94750125403743
77,,170.73297009268603,265.9948075586858,281.12898046015243,340.0785799895126
78,,136.13350935136648,104.92934892976722,29.287173704141356,149.9420178881388
79,,139.28252205915973,234.36447940855973,283.7874896761768,363.78713538413973
80,,100.09596995363817,177.46523627360205,204.0921946207069,274.4847749297492
81,,48.70864649210045,216.97915899913986,127.91759435131533,237.47442914159907
82,,53.83230566538993,203.25169826655375,165.47238460474904,281.7245169536826
83,,41.033108390790254,184.88371273549046,210.39408475402718,322.6663797393511
84,,37.09214383104314,189.4441408872784,132.01395895043035,264.6345051764557
85,,42.90339414343482,172.63069962245632,99.68952409085901,196.68204146242718
86,,46.873201013050846,190.2348022796716,137.59974206981752,260.88485991733205
87,,46.84186951611927,176.46391002085673,101.14820624838893,234.13816724597459
88,,47.23717538184153,178.35120161413195,118.18425760685743,204.94576356953092
89,,48.79400888563655,149.6076746941051,180.42391674437977,300.552927182005
90,,44.78127437626727,168.80503295758942,125.22618547871241,232.11829723061388
91,,38.94269528949562,189.26336013578043,121.02843739740275,278.70568561393173
92,,84.38660235875255,160.58165850651343,102.0528303305267,187.90197412723825
93,,79.30409093361423,236.20626789440323,226.031893217363,367.20473147484455
94,,55.06506990575266,164.4657977823723,177.27636321017056,294.0769596823275
95,,61.42736049041531,180.13980376661345,232.61576239941593,352.04152348690866
96,,49.82916133330266,183.24956746979763,141.68693699241535,254.06992407051607
97,,54.24739744466414,188.0340469418619,142.09113257063194,258.0225706485235
98,,71.52361856251302,218.4386304358566,161.54322100178675,328.7351790656573
99,,38.70336529821723,135.4452994258102,89.753038120562,148.50638412870754
