timestamp,converged,minimum_voltage_pu,maximum_voltage_pu,undervoltage_bus_count,overvoltage_bus_count,maximum_line_loading_percent,maximum_transformer_loading_percent,active_line_losses_kw,grid_import_kw,pv_generation_kw,battery_charge_kw,battery_discharge_kw,curtailed_pv_kw,mean_soc,minimum_soc,maximum_soc
2000-01-01 00:00:00,True,0.9857010135872192,1.0,0,0,3.1815855116235565,8.23569643244952,0.3105569410354756,66.1018020129367,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 00:15:00,True,0.9902241588918266,1.0,0,0,3.1070615861793005,6.769360456878282,0.2019907965398641,51.947855472422866,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 00:30:00,True,0.9896680009714619,1.0,0,0,3.2073164946532153,7.084522501615452,0.2115339295136705,55.199317087306184,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 00:45:00,True,0.9946048225998172,1.0,0,0,1.720549117195337,5.451181537611286,0.0701303726871103,43.31492812458482,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 01:00:00,True,0.9946163738481951,1.0,0,0,2.1645349548610993,6.095137291773128,0.07408387817212422,48.61774741612046,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 01:15:00,True,0.9913739949882127,1.0,0,0,1.6060632188786819,6.276483018822883,0.10024605039834968,50.83612667502702,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 01:30:00,True,0.9903139861481413,1.0,0,0,1.5249816794972524,7.20256538691153,0.09522158134400911,45.456372146766014,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 01:45:00,True,0.9921353684175996,1.0,0,0,1.4445598642788429,6.672136211634444,0.0882580825380355,45.558889623436016,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 02:00:00,True,0.9945755217359268,1.0,0,0,1.3560227462377352,6.729652459527371,0.06163944403454671,45.105887567601364,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
2000-01-01 02:15:00,True,0.9931763243605525,1.0,0,0,1.4276074344544383,7.5696862909297415,0.07619318132572273,60.97352943791057,0.0,0.0,0.0,0,0.10000000000000002,0.09999999999999999,0.10000000000000002
