scenario,loss_reduction_vs_s0_percent,undervoltage_reduction_vs_s0_percent,peak_reduction_vs_s0_percent
S0 demand without distributed generation,0.0,0.0,0.0
S1,12.962786208810172,4.390779363336993,-1.838241663460742e-13
S2,21.226751926827824,9.879253567508233,2.04974302951209
S3,11.494633714771576,7.135016465422613,6.1228954634540855
S4,8.917910476914333,4.171240395170143,1.9253872523684863
