horizon,steps,mae_kw,rmse_kw,nmae_percent,picp_percent,pinaw_percent_of_range,winkler_kw,test_rows
15 min,1,0.256195,0.464162,24.146983,80.192856,11.254988,1.368564,30489
1 h,4,0.415991,0.669122,39.207484,78.947714,18.445149,2.009745,30486
6 h,24,0.488542,0.736867,46.033516,78.024683,20.322047,2.267599,30466
24 h,96,0.493957,0.741567,46.526402,79.081398,20.565900,2.262413,30394
